date,favorite_count,followers_count,friends_count,full_text,retweet_count,retweeted,screen_name,tweet_id,user_id,user_mentions
2018-10-19 23:46:34,0,4,12,"@swiggy_in @SwiggyCares Order #23042949655, utterly stale food delivered. Asked customer agent for a replacement, but showed his inefficiency about it. Choose to sleep empty stomach, rather than being a victim of food poisoning. Need my full refund.",0,False,sunilgarg86,1053432247418638336,727859470710255616,"['swiggy_in', 'SwiggyCares']"
2018-10-19 22:36:31,1,356,673,@QueerGrlKahanis @SwiggyCares I know right!,0,False,Comfortably_Nam,1053414621221072896,128265177,"['QueerGrlKahanis', 'SwiggyCares']"
2018-10-19 22:35:22,0,356,673,@SwiggyCares Haha Family recipes are never meant to be shared. Only reserved for special guests.,0,False,Comfortably_Nam,1053414330589278209,128265177,['SwiggyCares']
2018-10-19 22:32:50,0,0,117,"@swiggy_in @SwiggyCares Order 23059522305 was placed at night, it's morning so we're all going to sleep after the worst experience ever with ordering from Swiggy.",0,False,TrendsGod,1053413694762176512,951041559784407040,"['swiggy_in', 'SwiggyCares']"
2018-10-19 22:31:38,0,0,117,"@swiggy_in @SwiggyCares And at this time no chat no call support available from you, Delivery executive Sateesha, Phone# 9620826027 says he can't do anything or notify support. Order 23059522305",0,False,TrendsGod,1053413389236494342,951041559784407040,"['swiggy_in', 'SwiggyCares']"
2018-10-19 21:46:28,1,4701,429,@chavan_Dpk @swiggy_in 😜😜 थँक्स @swiggy_in 😋😋,0,False,iRavi_Inamdar,1053402024392372224,3017949248,"['chavan_dpk', 'swiggy_in', 'swiggy_in']"
2018-10-19 21:36:00,12,3886,463,रव्याचे अर्ध्या रात्रीचे चोचले 😜😜😜 धन्यवाद @swiggy_in ...🙏 @iRavi_Inamdar https://t.co/26kxXHm12W,0,False,debug_20,1053399388209303552,4510191193,"['swiggy_in', 'iRavi_Inamdar']"
2018-10-19 21:17:18,0,3854,372,RT @swiggy_in: Let the festivities begin! 🎉 #HappyNavratri https://t.co/XaWtVH05Qk,0,False,mishra_au,1053394685962674178,3169989158,['swiggy_in']
2018-10-19 21:13:51,0,11,11,@SwiggyCares it doesn't matter for me as per the process you should refund my amount if you are thinking this is end then let me sure u 1 thing by today eod i will submit the complaint in consumer forum against you &amp; will share the number with u as well https://t.co/kr2ZuUkHCe,0,False,PRAKASHPANDEY28,1053393817095696385,412226202,['SwiggyCares']
2018-10-19 21:00:55,0,232,1105,Thanks for your contribution @Zomato @swiggy_in @foodpandaIndia https://t.co/S908nE8Wql,0,False,ravikreddy,1053390561623924738,18027915,"['Zomato', 'swiggy_in', 'foodpandaIndia']"
2018-10-19 20:48:20,0,6795,10116,RT @4rp17: @SwiggyCares Thanks for lighting up my Monday. 😒😒,0,False,REMROD,1053387395654139907,30404354,"['4rp17', 'SwiggyCares']"
2018-10-19 20:47:34,0,59,55,RT @isidkaushal: @SwiggyCares @swiggy_in unable to place any order guys! What's the issue??,0,False,roneyxr,1053387203429187587,165688969,"['isidkaushal', 'SwiggyCares', 'swiggy_in']"
2018-10-19 20:47:02,0,17,20,"RT @BonEatsInd: Order Bespoke Deliciousness now From BonEats on https://t.co/WWVC5x0Gsq
#boneats #foodie #foodporn #foodgasm #foodstagram #…",0,False,nangkukulam,1053387067009523715,103528108,['BonEatsInd']
2018-10-19 20:43:56,0,226,296,@SwiggyCares Fine.,0,False,mahamanu30,1053386288508952577,93845959,['SwiggyCares']
2018-10-19 20:41:59,0,226,296,@SwiggyCares Have sent it. Please do the needful.,0,False,mahamanu30,1053385797678837760,93845959,['SwiggyCares']
2018-10-19 20:33:39,0,226,296,"@SwiggyCares Totally frustrated with your delivery guys in below area. Rude,abusive and not at all punctual ones.Take care of it before it's too delayed!",0,False,mahamanu30,1053383699675394051,93845959,['SwiggyCares']
2018-10-19 20:22:24,0,38,177,@swiggy_in your customer care executive cancel my order and delivery boy came with same order....so disappointed service from you first time,0,False,harishv408,1053380870252326912,768113137186852864,['swiggy_in']
2018-10-19 20:21:34,0,24,121,"I have received the refund but what about the pathetc service I got frm you. I missed my dinner bcz of this shit service @foodpandaIndia @saurabhkochhar and you think that just by giving refund you hav done your part. I""ll prfr @Zomato  @swiggy_in  and @UberEats next time. Thanks",0,False,viveklivenow,1053380658595213312,4907263327,[]
