,date,favorite_count,followers_count,friends_count,full_text,retweet_count,retweeted,screen_name,tweet_id,user_id,user_mentions,length,clean_text
0,2018-08-31 23:51:23,0,65,308,@zomatocare @ZomatoIN And Zomato is refunding 87₹ for an order value of 345₹ which was not delivered. Why ?,0,False,raghav7,1035676455999393792,48267305,"['zomatocare', 'ZomatoIN']",107,refunding value delivery
3,2018-08-31 23:44:19,0,65,308,@ZomatoIN what kind of pathetic customer service is this. Order number 1203389227 https://t.co/zxY8Fv2SWE,0,False,raghav7,1035674675391746048,48267305,['ZomatoIN'],105,kind pathetic customer service
4,2018-08-31 23:43:40,0,111,292,@zomatocare @ZomatoIN Am done for now. Tired and sleepy. Call me after 3 pm tommorow. Will explain you in detail,0,False,SubhradeepB,1035674511377489920,499978649,"['zomatocare', 'ZomatoIN']",112,done tired sleepy tommorow explain detail
8,2018-08-31 23:40:59,0,111,292,Stupidity of @ZomatoIN customer support. They give credits for missing items and then say outlet gave full order. Wow. https://t.co/IoXaVcqJ1C,0,False,SubhradeepB,1035673836849487872,499978649,['ZomatoIN'],142,stupidity customer support credits missing items outlet gave full wow
14,2018-08-31 22:55:39,0,1012,907,That's savage. @ZomatoIN you should send a job offer to the @NetflixIndia Social Media Manager... https://t.co/YOrL6zZyaw,0,False,Marching_Gunner,1035662427889778688,68390007,"['ZomatoIN', 'NetflixIndia']",121,savage send job offer social media manager
15,2018-08-31 22:52:32,0,111,292,"Another order frm @ZomatoIN n another issue.
1. Had to take my activa n pick d order coz god knws what happened to riders phne.
https://t.co/LOcD5lIZTV fries. 
Practically half a meal.
Then offered rs50 credits to shut my mouth n wait more 4 fries

9911493929 check order details https://t.co/amJXtydosO",0,False,SubhradeepB,1035661643789651968,499978649,['ZomatoIN'],303,another frm another issue activa pick coz god knws happened riders phne fries practically half meal offered credits shut mouth wait fries
17,2018-08-31 22:31:10,2,223,166,@Cashify_ @radhika_apte @NetflixIndia @ZomatoIN @KFC_India The life cycle of a troll is to troll the other trolls 😂😂😂😎😎😎 https://t.co/FVVzRdxCVY,0,False,Kadete93,1035656269753982977,329150558,"['Cashify_', 'radhika_apte', 'NetflixIndia', 'ZomatoIN', 'KFC_India']",144,life cycle troll troll trolls
21,2018-08-31 22:14:26,0,805,1515,"@zomatocare @Zomato So, for starters...my any chat to your customer service isn't being delivered.....so either your app is dysfunctional or my internet is...but since i am able to tweet...this looks like the 1st case",0,False,aidityoganguly,1035652054843150336,1328926171,"['zomatocare', 'Zomato']",217,startersmy customer service isnt deliveryso either app dysfunctional internet isbut since able tweetthis looks st case
29,2018-08-31 21:19:11,0,4,30,@zomatocare @ZomatoIN @Zomato Your representatives are not even aware and make fake promises,0,False,DivyaSAU,1035638154034704384,886150356857638913,"['zomatocare', 'ZomatoIN', 'Zomato']",92,representatives aware make fake promises
30,2018-08-31 21:18:20,0,4,30,@zomatocare @ZomatoIN @Zomato 1613627691 Is the current order which is late by 25mins,0,False,DivyaSAU,1035637938535555074,886150356857638913,"['zomatocare', 'ZomatoIN', 'Zomato']",85,current late mins
31,2018-08-31 21:17:32,0,4,30,"@zomatocare @ZomatoIN @Zomato 1206058900 for this when I raised concern I was promised to give full refund in future,If delayed by 45min..",0,False,DivyaSAU,1035637737838141440,886150356857638913,"['zomatocare', 'ZomatoIN', 'Zomato']",138,raised concern promised full refund futureif delayed min
33,2018-08-31 21:12:10,0,4,30,"One of your representatives gave me this info when I asked for a refund from dominos,And when it happened via Zomato they denied there is no such policy..Is this the way you deal with ur customers @ZomatoIN @Zomato https://t.co/IyQe0WdkvT",0,False,DivyaSAU,1035636387356110848,886150356857638913,[],238,representatives gave info asked refund dominosand happened via denied policyis deal customer
35,2018-08-31 21:03:47,0,591,2271,"@theakki @Cashify_ @radhika_apte @NetflixIndia @ZomatoIN @KFC_India Netflix strategy.

Constant social media nuisance until &amp; beyond it's name gets hard wired into your brain.",0,False,Gokul_On_Fire,1035634278975954944,417212212,"['theakki', 'Cashify_', 'radhika_apte', 'NetflixIndia', 'ZomatoIN', 'KFC_India']",179,netflix strategy constant social media nuisance beyond name gets hard wired brain
36,2018-08-31 21:01:17,0,995,152,"@Shahzadnaama @Zomato @ZomatoIN Hey Shahzad
Please share your order ID we will get back to you with a resolution.
Regards,
Team Burger Singh",0,False,BurgerSinghs,1035633646508683264,1703856696,"['Shahzadnaama', 'Zomato', 'ZomatoIN']",140,shahzad resolution regards team burger singh
40,2018-08-31 20:43:48,0,0,0,"@ZomatoIN u guys deliverd from mahesh food corner  wrong order n what i got is rotten chicken mixed with rice insted of chicken meals and chicken curry roti .
do u think we can eat anything what u will send who will be responsible if will get some probllem.",0,False,sonu39571232,1035629248092860416,1035626405822750720,['ZomatoIN'],257,guy deliveryd mahesh corner wrong rotten chicken mixed rice insted chicken meals chicken curry roti think eat anything send responsible probllem
43,2018-08-31 20:38:52,0,30,171,"@zomatocare @ZomatoIN @SUBWAY I have talking with support and they are saying I can't get my money back.
This is all out fraud",0,False,SawadhAnuj,1035628007640072192,3154508024,"['zomatocare', 'ZomatoIN', 'SUBWAY']",126,talking support saying money fraud
44,2018-08-31 20:35:30,1,101,245,@ghoshogulla @bizzybe86609380 @ZomatoIN what's so classy about blowing raspberries? aren't you a grown a** person? ;),0,False,srizzler,1035627157953949696,54600826,"['bizzybe86609380', 'ZomatoIN']",117,whats classy blowing raspberries arent grown person
47,2018-08-31 20:33:13,1,19,89,@zomatocare @ZomatoIN You want details of order or contact number,0,False,SachinBittu7,1035626582935625729,747791663804735489,"['zomatocare', 'ZomatoIN']",65,contact
48,2018-08-31 20:32:44,0,30,171,"@ZomatoIN
My order no.1427975334 was not delivered.
I ordered a 12 inch sub and I got a 6 inch sub.
And subway is not keen on delivering full order.
I got duped by you and @SUBWAY.
What should I do?
Now I have no money and no food.",0,False,SawadhAnuj,1035626463997743104,3154508024,['ZomatoIN'],231,delivery inch sub inch sub subway keen deliverying full duped money
49,2018-08-31 20:31:04,1,90,146,How to get #freefood from trick 1 #zomato  @Zomato @ZomatoIN https://t.co/3s6nWBvj7n,0,False,Kapoor704,1035626044643000320,226084194,"['Zomato', 'ZomatoIN']",84,freefood trick
53,2018-08-31 20:26:54,0,19,89,My whole party runied by you people @ZomatoIN,0,False,SachinBittu7,1035624996700270592,747791663804735489,['ZomatoIN'],45,whole party runied people
55,2018-08-31 20:25:40,1,19,89,Not satisfied with service as well as customer service @ZomatoIN not expected this service from you people,0,False,SachinBittu7,1035624684769828864,747791663804735489,['ZomatoIN'],106,satisfied service customer service expected service people
56,2018-08-31 20:22:51,0,84,545,@zomatocare @Zomato @ZomatoIN Done.,0,False,Yogi_At_Work,1035623975999692800,994978297812418562,"['zomatocare', 'Zomato', 'ZomatoIN']",35,done
59,2018-08-31 20:16:16,0,48,95,@subham_baradia7 @ZomatoIN @jagograhakjago @HMOIndia This was very much unexpected. Look into it ASAP @Zomato @ZomatoIN @consumerforum_,0,False,jivesh87,1035622319048208384,327365661,"['subham_baradia7', 'ZomatoIN', 'jagograhakjago', 'HMOIndia', 'Zomato', 'ZomatoIN', 'consumerforum_']",135,unexpected
61,2018-08-31 20:15:17,0,48,95,@ZomatoIN This was very much unexpected from your team. Look into it ASAP. @consumerforum_ @Zomato https://t.co/dIMEmHSC5a,0,False,jivesh87,1035622073194799104,327365661,"['ZomatoIN', 'consumerforum_', 'Zomato']",122,unexpected team
66,2018-08-31 20:11:04,0,201,162,"@ZomatoIN guys, how can you deliver the order just opposite the order placed.. and then your support team ended up with calling the restaurant... #madmomos #pune #zomatosucks #unsubscribingzomatogold",0,False,amey6991,1035621008848416769,81775759,['ZomatoIN'],199,guy delivery opposite support team ended calling restaurant madmomos pune zomatosucks unsubscribingzomatogold
69,2018-08-31 20:07:44,0,0,11,"@Prem4Singh @ZomatoIN @Zomato @swiggy_in Order 1050043174 ,@Zomato @ZomatoIN  lead me to a imbarasing situation and all the the customer service said , no help available , rubbish customer service don't have any manage working ,as i was told",0,False,Prakash34423879,1035620173447921665,1035602259684601856,"['Prem4Singh', 'ZomatoIN', 'Zomato', 'swiggy_in', 'Zomato', 'ZomatoIN']",241,lead imbarasing situation customer service available rubbish customer service manage working
71,2018-08-31 20:03:52,1,4,25,"@zomatocare @Prakash34423879 @ZomatoIN @Zomato @swiggy_in I have left ordering from you already  , however it's not about me  it's about @Prakash34423879",0,False,Prem4Singh,1035619197600989184,2899475544,"['zomatocare', 'Prakash34423879', 'ZomatoIN', 'Zomato', 'swiggy_in']",153,left already however
77,2018-08-31 19:53:39,0,111,292,Guys @ZomatoIN @BurgerSinghs not able to get meetha singh even when it states. Final order summary doesn't have it. https://t.co/xrAp8ebysQ,0,False,SubhradeepB,1035616626995998720,499978649,"['ZomatoIN', 'BurgerSinghs']",139,guy able meetha singh states final summary doesnt
79,2018-08-31 19:52:36,0,37,691,@bizzybe86609380 @srizzler @ZomatoIN I am really suspicious of your perception to my reply. But I am gonna leave it at that.,0,False,redrum_26_7,1035616361827819520,428818012,"['bizzybe86609380', 'srizzler', 'ZomatoIN']",124,suspicious perception gon na leave
80,2018-08-31 19:52:21,0,84,545,@zomatocare @Zomato @ZomatoIN Where should I send the details?,0,False,Yogi_At_Work,1035616298410106880,994978297812418562,"['zomatocare', 'Zomato', 'ZomatoIN']",62,send
82,2018-08-31 19:49:49,0,9,52,@zomatocare @deepigoyal Why do i need to provide the details and then wait so that you guys can call me. Instead provide us the option to call you so that we don't have to wait in that chat box where your executive don't even bother to reply customer promptly.,0,False,KrishSinghal_,1035615664428462081,888452114346897408,"['zomatocare', 'deepigoyal']",260,wait guy instead option wait box executive bother customer promptly
83,2018-08-31 19:49:44,0,240,196,"hey @ZomatoIN, can you deliver Gulabjamun right now in Dehradun? 
I desperately wanna eat it.",0,False,KingofPJs,1035615640030257154,1633567586,['ZomatoIN'],93,delivery gulabjamun dehradun desperately wan na eat
84,2018-08-31 19:47:59,0,0,9,@ZomatoIN @zomato i never expected this kind of service from swiggy. u betrayed us . the quality of food which i recieved today was worst from my side.(1048667269) mob number- 9631276784,0,False,abhijee94603590,1035615200441917445,1034780998347542528,"['ZomatoIN', 'Zomato']",186,never expected kind service betrayed quality recieved worst side mob
86,2018-08-31 19:44:50,0,12,146,@ZomatoIN my food just arrived like this. I ordered it from Zomato. https://t.co/CTMNtj8lUI,0,False,KaranKap19,1035614410302140416,968786192769495040,['ZomatoIN'],91,arrived
87,2018-08-31 19:43:56,0,86,1315,@Reliance_MF @NetflixIndia @ZomatoIN @amfiindia @Social_Samosa @madovermarketin @AdAgeIn @ETBrandEquity @afaqs @e4mtweets @adage Ahhhhh ! This new chutiyapa is getting excess now,0,False,psramda,1035614182153093120,984897132,"['Reliance_MF', 'NetflixIndia', 'ZomatoIN', 'amfiindia', 'Social_Samosa', 'madovermarketin', 'AdAgeIn', 'ETBrandEquity', 'afaqs']",178,ahhhhh chutiyapa excess
88,2018-08-31 19:43:51,0,1,5,"@IM007sarthak @Zomato @zomatocare and they told me that there wasn't any offer of cashback
#Shame
#deletezomato",0,False,Rocco16312664,1035614159444967424,1029077197988872193,"['IM007sarthak', 'Zomato', 'zomatocare']",111,wasnt offer cashback shame deletezomato
89,2018-08-31 19:41:05,1,65,381,@Rocco16312664 @Zomato @zomatocare Yes I was also not given the credit and asked by Zomato to place another order then they will initiate credit of 100 to my account .,0,False,IM007sarthak,1035613463412764672,3018086790,"['Rocco16312664', 'Zomato', 'zomatocare']",167,yes given credit asked place another initiate credit account
90,2018-08-31 19:41:00,0,75,153,"@topradnya @Reliance_MF @NetflixIndia @ZomatoIN @amfiindia @Social_Samosa @madovermarketin @AdAgeIn @ETBrandEquity @afaqs @e4mtweets @adage Such creative, much wow",0,False,Unplugged_wire,1035613445524086784,3286778575,"['topradnya', 'Reliance_MF', 'NetflixIndia', 'ZomatoIN', 'amfiindia', 'Social_Samosa', 'madovermarketin', 'AdAgeIn', 'ETBrandEquity']",163,creative wow
92,2018-08-31 19:30:13,0,2,77,@foodpandaIndia - bad service. Not received my order yet but app shows all ready delivered. Tried emailing you'll and tried connecting through chat. No response received. Youll need to learn from @ZomatoIN for their prompt service.,0,False,addieeteddy,1035610732396793856,826860791672557569,['foodpandaIndia'],231,bad service received app shows ready delivery tried emailing youll tried connecting response received youll prompt service
96,2018-08-31 19:26:35,0,5,52,"@zomatocare @Zomato @ZomatoIN @swiggy_in kalyug
I have asked you to improve your maths.
you are so weak with numbers instead of solving you removed offer
iski saza milegi barobar milegi
@Uber @UberINSupport @Uber_Support https://t.co/grL2bnRR1c",0,False,nehul_gupta,1035609814649298944,1399581228,"['zomatocare', 'Zomato', 'ZomatoIN', 'swiggy_in']",244,kalyug asked improve maths weak numbers instead solving removed offer iski saza milegi barobar milegi
0,2018-12-19 23:14:06,0,2,95,@Zomato @ConsumerReports @ComplaintsNG @ZomatoIN What are you all up to ....what is going on ....this is how you all make money by ripping customers...@pankajchaddah,0,False,yhpoddar,1075529737357819906,2902987885,"['Zomato', 'ConsumerReports', 'ComplaintsNG', 'ZomatoIN']",165,going make money ripping customer
2,2018-12-19 22:23:29,0,26,558,"Can anyone tell me do that look like a rabdi falooda ?? I order through @ZomatoIN @Zomato and had few spoons but found 2 piece of some kinda WHITE CLAY. Now I am feeling SICK with stomuch, I contacted Zomato Care but they dont even care to check on my HEALTH. Pathetic service. https://t.co/3U7GGju1oK",0,False,zameer_momin,1075516997956362240,4368408140,"['ZomatoIN', 'Zomato']",301,anyone tell rabdi falooda spoons found piece kinda white clay feeling sick stomuch contacted care care health pathetic service
5,2018-12-19 22:07:56,0,7027,3477,My pizza delivered cold please take it back. And I hate you Zomato I was so hungry and now my mood is soiled too @ZomatoIN https://t.co/odgE1RGH6U,0,False,HeySunilGupta,1075513084263854080,1069044078,[],146,delivery cold hate hungry mood soiled
6,2018-12-19 22:06:52,0,10,4,@zoo_bear @ZomatoIN India’s politicians have been eating everyone’s food for a very long time. But nobody gives a damn about that.,0,False,itsmesbalaji,1075512817317502976,416157448,"['zoo_bear', 'ZomatoIN']",130,indias politicians eating everyones long time nobody gives damn
7,2018-12-19 21:55:21,2,50,133,Listen to @ZomatoIN new policy - To #cheat it's customers.,0,False,MariaLaveena,1075509917971169280,494079420,['ZomatoIN'],58,listen policy cheat customer
8,2018-12-19 21:54:53,0,50,133,@ZomatoIN calls my perfectly working #airtel number as unreachable and supports it's delivery guy for not delivering my food!! @Zomato is cheating it's good customer's on a whole new level.,0,False,MariaLaveena,1075509801688326145,494079420,['ZomatoIN'],189,calls perfectly working airtel unreachable supports delivery guy deliverying cheating good customer whole level
9,2018-12-19 21:52:43,1,50,133,Here's @Zomato @ZomatoIN new way of cheating people. They don't call us&amp; later say that we are unresponsive&amp; dont deliver food&amp;also take our money. Stop using #Zomato. Looks like @swiggy_in is better than them.. #Zomatodelivery #zomatofraud #boycottzomato https://t.co/vWNde3pKsZ,0,False,MariaLaveena,1075509258962165760,494079420,"['Zomato', 'ZomatoIN']",291,heres cheating people later unresponsive delivery foodalso money stop using looks better zomatodelivery zomatofraud guycottzomato
10,2018-12-19 21:29:50,0,50,133,@zomatocare @ZomatoIN How is that my phone receives everything other call and not yours. Cannot be possible right ? You say the same thing in the email that you can't refund my money nor deliver my food. This is #cheating to a whole new level. And you call it #newpolicy?,0,False,MariaLaveena,1075503498697990144,494079420,"['zomatocare', 'ZomatoIN']",271,phone receives everything possible thing email refund money delivery cheating whole level newpolicy
13,2018-12-19 21:17:11,5,50,133,"Hi all, I had shared my experience on Facebook on #BangaloreFoodiesClub abt my #zomato order on how I was outrightly cheated. Almost 30 guys had reported saying they had the same issue. Pls uninstall #zomato &amp; save ur money from fraudsters! 
@ZomatoIN @zomatocare",0,False,MariaLaveena,1075500313103060992,494079420,[],267,hi shared experience facebook bangalorefoodiesclub abt outrightly cheated almost guy reported saying issue uninstall save money fraudsters
14,2018-12-19 21:15:45,0,46,247,@zomatocare @Zomato @ZomatoIN  Do you people take 1 month to resolve any query? Oh no! You guys still couldn’t resolve it and process the same response everytime. Please be as fast as @swiggy_in in resolving and delivering!,0,False,abhinav_1630,1075499954783879168,713799670116458496,"['zomatocare', 'Zomato', 'ZomatoIN']",223,people month resolve query oh guy couldnt resolve process response everytime fast resolving deliverying
15,2018-12-19 21:03:59,0,50,133,@zomatocare @Zomato @ZomatoIN Why do you give #discounts to your customer and take back our money + food we ordered. Is this even fair on your part? Why do your delivery guys eat our food? #Zomatosucks,0,False,MariaLaveena,1075496994833985536,494079420,"['zomatocare', 'Zomato', 'ZomatoIN']",201,discounts customer money fair part delivery guy eat zomatosucks
16,2018-12-19 21:01:25,0,50,133,"@zomatocare @Zomato @ZomatoIN I've had enough chats with ur support and they're not ready to refund my money nor deliver food I ordered. They never called me at all &amp; when I called, delivery guy is already back to the restaurant to give back the food. Do u want us to trust this? #Zomatocheats #saynotoZomato https://t.co/8NyliSL48W",0,False,MariaLaveena,1075496347254439936,494079420,"['zomatocare', 'Zomato', 'ZomatoIN']",336,ive enough chats support theyre ready refund money delivery never called called delivery guy already restaurant trust zomatocheats saynotozomato
17,2018-12-19 20:59:52,0,66,61,@Zomato @ZomatoIN I'm sleeping hungry for the second time in last 4 days. Thanks &amp; Good night. #WonderWhatsWrong https://t.co/OBfwPIwehR,0,False,deepinderkalra,1075495957154934798,68421014,"['Zomato', 'ZomatoIN']",140,sleeping hungry second time thanks good night wonderwhatswrong
18,2018-12-19 20:53:58,0,16,466,@zomatocare @ZomatoIN Why the hell are you not responding?,0,False,leolionmehul,1075494470773288966,312687736,"['zomatocare', 'ZomatoIN']",58,hell responding
19,2018-12-19 20:47:28,0,50,133,@Zomato @ZomatoIN Why does your #chatsupport doesn't call customer before cancelling the order?? How can you take our money when you haven't even delivered our food?? Is this a new way to #trick people?,0,False,MariaLaveena,1075492837502857216,494079420,"['Zomato', 'ZomatoIN']",202,chatsupport doesnt customer cancelling money havent delivery trick people
21,2018-12-19 20:44:26,0,50,133,@Zomato @ZomatoIN This is what you do to customers who pay for your food before arriving? You take money and food and cheat customers. #boycottzomato https://t.co/wWw9E441Uf,0,False,MariaLaveena,1075492070779830273,494079420,"['Zomato', 'ZomatoIN']",173,customer pay arriving money cheat customer guycottzomato
