date,favorite_count,followers_count,friends_count,full_text,retweet_count,retweeted,screen_name,tweet_id,user_id,user_mentions
2019-06-05 23:55:10,0,243,1744,"RT @ZomatoIN: Humans may be 70% water, but can definitely be 100% nice 😇 https://t.co/GiFxq4zLBr",0,False,VikasBharddwaj,1136421232729939970,979572175991656449,['ZomatoIN']
2019-06-05 23:54:02,0,6,67,@zomatocare @MohammedShaji3 This is a good reason to hide your faults and irresponsibilities by putting the blame on the customer that we tried calling you and there was no point of contact. 👍 @zomatocare @ZomatoIN,0,False,bhaveshvalecha4,1136420948381356035,3455709914,"['zomatocare', 'MohammedShaji3']"
2019-06-05 23:53:19,0,217,1789,"RT @ZomatoIN: Humans may be 70% water, but can definitely be 100% nice 😇 https://t.co/GiFxq4zLBr",0,False,snehashishrout,1136420769108332551,2964427611,['ZomatoIN']
2019-06-05 23:53:17,0,41,46,@zomatocare 9885748057 after 2 PM,0,False,MohammedShaji3,1136420759562121216,509859653,['zomatocare']
2019-06-05 23:52:08,0,6,67,"@Satrani1989 @Zomato @ZomatoIN I think that's the only way by which they are making money out of it, and that could be the only reason behind the heavy discount that they used to give on Zomato of 40-50% off. @zomatocare @ZomatoIN",0,False,bhaveshvalecha4,1136420472562708481,3455709914,"['Satrani1989', 'Zomato', 'ZomatoIN']"
2019-06-05 23:48:54,0,371,15,@zomatocare #idiots dumbs call. Me @9920588405,0,False,HardyVora,1136419655067717632,1522297386,['zomatocare']
2019-06-05 23:47:24,0,6,67,"@MohammedShaji3 @zomatocare I am sure that could be the only reason for such a late reply, by seeing this type of experience not only from me but from many customers this company should no longer be running in India.",0,False,bhaveshvalecha4,1136419278482075649,3455709914,"['MohammedShaji3', 'zomatocare']"
2019-06-05 23:43:47,1,41,46,"@zomatocare @bhaveshvalecha4 I've had similar issue and no food or refund. I'm sure there must many customers facing this fraudulent activities. Moreover these people don't have a call center and the chat page has no agent available for hours together, guess they are busy eating food paid by us.",0,False,MohammedShaji3,1136418369123389440,509859653,"['zomatocare', 'bhaveshvalecha4']"
2019-06-05 23:40:52,0,371,15,@zomatocare Okay do check but what i i need is refund of the entire food,0,False,HardyVora,1136417635845804033,1522297386,['zomatocare']
2019-06-05 23:39:12,0,135,624,@zomatocare What's the point of cross verify when your restaurant is not responding and you forced someone poor chap starved in the early morning @mohitcharu,0,False,sunilkupradhan,1136417215664648192,272836345,['zomatocare']
2019-06-05 23:38:05,1,371,15,@dominos @dominos_india hello guys u again goofed up with my pizza it was smelling yuck fucking ordered from @ZomatoIN @Zomato @dominos @dominos_india i need my money returned any how https://t.co/SMad2u25Yd,1,False,HardyVora,1136416935187439616,1522297386,"['dominos', 'dominos_india']"
2019-06-05 23:35:06,0,135,624,@zomatocare What's the point of cross verify when your restaurant is not responding and you forced someone starved in the early morning.,0,False,sunilkupradhan,1136416185946271744,272836345,['zomatocare']
2019-06-05 23:29:28,1,86,321,@bhaveshvalecha4 @Zomato @ZomatoIN This is really very bad to hear this kind of issue. A person is ordering food late night and didn't get his order and instead of getting helped such a embarrassing reply is received from the Zomato.,0,False,Satrani1989,1136414765838811136,1467786307,"['bhaveshvalecha4', 'Zomato', 'ZomatoIN']"
2019-06-05 23:23:41,0,98,527,"RT @ZomatoIN: Humans may be 70% water, but can definitely be 100% nice 😇 https://t.co/GiFxq4zLBr",0,False,mayank_sxn,1136413311279423489,55491529,['ZomatoIN']
2019-06-05 23:23:33,1,98,527,@ZomatoIN This company is managed by someone woke.,0,False,mayank_sxn,1136413276277858304,55491529,['ZomatoIN']
2019-06-05 23:22:35,0,69,88,"@SwiggyCares do you think you can hide behind these fancy words and explanations your motive to loot the customers?

NO.

I understand business and you are making money here through unethical practices hiding behind terms sucs as surge and restaurant chargs

Switching to @ZomatoIN completely.",0,False,Sakshi071995,1136413035260551168,997082676656996352,['SwiggyCares']
2019-06-05 23:17:21,0,38,206,@zomatocare as miserable as ever. https://t.co/3adN1okZbf,0,False,AvramNate,1136411716202319873,1067259338438389761,['zomatocare']
2019-06-05 23:09:54,0,313,618,RT @bhaveshvalecha4: Hey guys just to make you guys aware what these food dilevery companies are doing with us. So i ordered food from a so…,0,False,sudshekharg,1136409842212585473,130553400,['bhaveshvalecha4']
2019-06-05 23:09:33,0,313,618,@zomatocare @bhaveshvalecha4 @zomatocare @ZomatoIN Your auto reply is way faster than the speed with which you resolve the issues. I have seem so many tweets around this and even I have the same problem with no solution as of now.,0,False,sudshekharg,1136409752169275398,130553400,"['zomatocare', 'bhaveshvalecha4', 'zomatocare', 'ZomatoIN']"
2019-06-05 22:54:45,0,147,105,"RT @ZomatoIN: Humans may be 70% water, but can definitely be 100% nice 😇 https://t.co/GiFxq4zLBr",0,False,BeingAnurag030,1136406030479515648,144112838,['ZomatoIN']
2019-06-05 22:53:54,0,13,52,"@zomatocare Here is my order id..1614583661
In this order my beverage is missing from the combo box... You can confirm it from the valet
And in this order the coke is missing...1416510325",0,False,2619Motu,1136405813986115585,1061950912296611841,['zomatocare']
2019-06-05 22:48:46,0,13,52,@zomatocare I have sent you the details on PC kindly check your messages,0,False,2619Motu,1136404524308918272,1061950912296611841,['zomatocare']
2019-06-05 22:44:12,0,13,52,"@ZomatoIN  Hey I have been trying to reach the support for 3 hours now don't you have anyone who can solve my issue....
If you don't have people for customer service at this hour then don't keep the delivery on..... What the hell is going on.... https://t.co/crQcw9DBb5",0,False,2619Motu,1136403375484878848,1061950912296611841,['ZomatoIN']
2019-06-05 22:40:33,0,6,67,@zomatocare order no - 1527993048,0,False,bhaveshvalecha4,1136402457892802561,3455709914,['zomatocare']
2019-06-05 22:38:42,0,677,4871,RT @jubin_93: @ZomatoIN Done! How about giving them a pay raise too?,0,False,d33p_crj,1136401990827646976,2906388768,"['jubin_93', 'ZomatoIN']"
2019-06-05 22:38:34,0,677,4871,"RT @anjali1604: @ZomatoIN Giving delivery persons their due salaries, offering them health insurances and the legitimate number of holidays…",0,False,d33p_crj,1136401957109653504,2906388768,"['anjali1604', 'ZomatoIN']"
2019-06-05 22:38:23,0,677,4871,"RT @ZomatoIN: Humans may be 70% water, but can definitely be 100% nice 😇 https://t.co/GiFxq4zLBr",0,False,d33p_crj,1136401911911931904,2906388768,['ZomatoIN']
2019-06-05 22:38:19,0,34277,36,RT @kushagra_tpt: #Zomato Pathetic services by zomato 'n restaurant in Noida. I made an order for some occasion but they delivered incomple…,0,False,VaronikaVks,1136401893226360832,264398239,['kushagra_tpt']
2019-06-05 22:13:56,0,6,67,"and the never dilever the food neither to the customer nor to the restaurant.
So i believe that may be by stealing our money in such manner they are making profit out of it... what a Marketing strategy @Zomato  @ZomatoIN",0,False,bhaveshvalecha4,1136395755789283329,3455709914,[]
2019-06-05 22:13:55,1,6,67,"what a pathetic customer service are you guys providing @Zomato  @ZomatoIN and also later when i taled to the restaurant guy that if the order has been cancelled than did he got the order back, the guy simply denied saying that these zomato valet usually do this with people",0,False,bhaveshvalecha4,1136395753935425538,3455709914,"['Zomato', 'ZomatoIN']"
2019-06-05 22:13:38,1,6,67,Hey guys just to make you guys aware what these food dilevery companies are doing with us. So i ordered food from a so called food dilevery app that is @Zomato @ZomatoIN of around ₹885 and the agent called me to confirm the order location where he need to deliver the order.,1,False,bhaveshvalecha4,1136395682233774080,3455709914,[]
2019-06-05 22:06:32,1,5,24,All the food delivery services @swiggy_in @Zomato @ZomatoIN @foodpandaIndia should learn from @UberEats @UberEats_IND how to deliver the food in 2 hours when it's showing 15 mins. Ordered same from Swiggy after 30 mins and they delivered in 30 mins. Uber is so awesome :3 https://t.co/au3i3NAwKo,0,False,AtlasAshish,1136393895506374656,1110867235222876160,"['swiggy_in', 'Zomato', 'ZomatoIN', 'foodpandaIndia', 'UberEats']"
2019-06-05 22:06:03,0,3,25,@zomatocare Just refund amount as soon as possible,0,False,ReyReaction,1136393771757662208,965231299324620800,['zomatocare']
2019-06-05 22:04:15,0,3,25,@zomatocare https://t.co/sb71d6LpNb,0,False,ReyReaction,1136393319691329536,965231299324620800,['zomatocare']
2019-06-05 21:59:57,1,3,25,Second time I am posting same thing late again to solve issues almost 15 min @zomatocare @ZomatoIN @Zomato https://t.co/WLxX1EKsho,0,False,ReyReaction,1136392238169067520,965231299324620800,"['zomatocare', 'ZomatoIN', 'Zomato']"
2019-06-05 21:44:27,0,71,198,"@zomatocare @Zomato @ZomatoIN Hello @zomatocare @ZomatoIN ...are you listening? 
Too arrogant. Pathetic service. 
Earlier I was only in mood to uninstall but now I'm gonna review on @GooglePlay as well. Thank you!",0,False,realsurajbhagat,1136388335927042048,3890102893,"['zomatocare', 'Zomato', 'ZomatoIN', 'zomatocare', 'ZomatoIN']"
2019-06-05 21:40:46,0,7,45,"Now @ZomatoIN your agent is telling me to.wait what is wrong with you'll , so I should keep.waiting till.youll get an.update wow.zomato superb customer satisfaction keep it up https://t.co/InK6k1fzGD",0,False,Sanaks11,1136387411800289280,940792909741379584,['ZomatoIN']
2019-06-05 21:39:11,0,7,45,"@ZomatoIN @zomatocare 
I placed an order with Zomato I got a call from the restaurant stating that they are closed 
I asked Zomato to help me with cancelling my order but they can't connect to the restaurant so asking me to pay the penalty what the hell https://t.co/LXJ5HpOXzq",0,False,Sanaks11,1136387012238331904,940792909741379584,"['ZomatoIN', 'zomatocare']"
2019-06-05 21:31:33,0,5,68,"@zomatocare 
There was a missing item in my order.  I tried to get support. Waiting period was for about 10 min which itself is longer than usual.But this was just a waste of time. Waiting for an hour and not getting a reply is not cool.  Please address this issue immediately. https://t.co/EUTLbgBaLe",0,False,9500523294,1136385092836777984,1193676468,['zomatocare']
2019-06-05 21:30:53,0,224,506,"@brawling_virago @anirxdh @faasos @ZomatoIN I few times found ordering through @Zomato a better option purely due to customer service , follow ups they do with restaurant and Zomato credits they give when screw up happens by restaurants .. can share specific examples too 😊",0,False,monal_aggarwal,1136384922669551617,17704562,"['brawling_virago', 'faasos', 'ZomatoIN', 'Zomato']"
2019-06-05 21:28:05,0,2,18,@zomatocare No thank you. Do contact to me via the chat support https://t.co/FdzUkrCYhb,0,False,NewIndi86751888,1136384219146407936,1070684894613753856,['zomatocare']
2019-06-05 21:25:10,0,11,142,@zomatocare Now I will go to file consumer case on you why you not have customer care support number @Zomato @ZomatoIN @zomatocare @abpnewstv @aajtak @indiatvnews @News18Rajasthan @DRMJaipur,0,False,chowkidarrah,1136383485084459008,787898554006302721,"['zomatocare', 'Zomato']"
2019-06-05 21:21:34,0,165,741,@Zomato @ZomatoIN @zomatocare @ZomatoLB @ZomatoUAE @ZomatoNZ @ZomatoAUS Team seriously 1 min is how long ... like 35 mins https://t.co/yIRSAbm878,0,False,mandy_maddy,1136382577747435521,183972348,"['Zomato', 'ZomatoIN', 'zomatocare', 'ZomatoLB', 'ZomatoUAE', 'ZomatoNZ', 'ZomatoAUS']"
2019-06-05 21:18:59,1,11,142,"See how Zomato delivery very quickly still I not get reply from them regarding my oder 
@Zomato 
@ZomatoIN 
@zomatocare 
@ConsumerReports 
@abpnewstv https://t.co/33ZJOCBuMK",0,False,chowkidarrah,1136381930411139072,787898554006302721,"['Zomato', 'ZomatoIN']"
2019-06-05 21:15:37,0,839,524,@zomatocare Still awaiting some response on this.,0,False,HandesUp,1136381081064808448,509237907,['zomatocare']
2019-06-05 21:14:10,0,14,137,@zomatocare @ZomatoIN @Zomato @deepigoyal,0,False,hardu18,1136380716621606912,3239490086,"['zomatocare', 'ZomatoIN', 'Zomato', 'deepigoyal']"
2019-06-05 21:13:05,0,1,29,@zomatocare Why don't you respond? You are not providing proper service after taking my money.,0,False,SanthoshDhulip1,1136380444344180736,1088116644684001281,['zomatocare']
2019-06-05 21:11:57,0,165,741,@zomatocare From last 20 mins its showing wait time 1 mins ..... 🔥 https://t.co/VBYGBzTXsg,0,False,mandy_maddy,1136380159219470336,183972348,['zomatocare']
2019-06-05 21:11:31,0,301,92,"RT @WarOfGenders: Any discount offers or sale during #FathersDay?
@LEVIS
@ZARA 
@reebokindia 
@BigBazaar 
@RelianceFreshIN 
@globusindia
@W…",0,False,kassalv,1136380048796200964,845980523482701824,"['WarOfGenders', 'LEVIS', 'ZARA', 'reebokindia', 'BigBazaar', 'RelianceFreshIN', 'globusindia']"
2019-06-05 21:10:03,0,31,360,@zomatocare have u checked?,0,False,KetanMishra7,1136379680938840064,2428873394,['zomatocare']
2019-06-05 21:06:47,0,286,434,@zomatocare I did DM you you haven’t replied yet,0,False,Sarthak_asm,1136378860595949568,1114305211,['zomatocare']
2019-06-05 21:04:47,0,14,137,"@zomatocare What steps @zomatocare @ZomatoIN @Zomato has taken, or should I proceed to Consumer Court to get refund of RS.93 which is unethically and wrongly adjusted.",0,False,hardu18,1136378353957494784,3239490086,"['zomatocare', 'zomatocare', 'ZomatoIN', 'Zomato']"
2019-06-05 20:56:02,0,253,274,"RT @ManishJ8899: @Anthonydesusa @Zomato @ZomatoIN @MenWelfare @narendramodi @ArvindKejriwal @rsprasad @IHSMarkit 
@TCS 
This is called  #ge…",0,False,NitinSaini1411,1136376151474081793,1337325684,"['ManishJ8899', 'Anthonydesusa', 'Zomato', 'ZomatoIN', 'MenWelfare', 'narendramodi', 'ArvindKejriwal', 'rsprasad', 'IHSMarkit', 'TCS']"
2019-06-05 20:53:58,0,165,741,@zomatocare Waiting,0,False,mandy_maddy,1136375632915382274,183972348,['zomatocare']
2019-06-05 20:53:08,0,120,86,"RT @iprateek12: Will do @ZomatoIN but since you are typing this sitting in AC Room, you also:
- provide them a place or stop with shade. I…",0,False,nirmalgosai09,1136375423565123585,1620216931,"['iprateek12', 'ZomatoIN']"
2019-06-05 20:52:02,0,165,741,@Zomato @ZomatoIN @zomatocare @ZomatoLB @ZomatoUAE @ZomatoNZ @ZomatoAUS Team from my order there are two items which are missing as per ordered menugulab jamun and rice are missing please check with restaurant and resolve this asap.. https://t.co/6ug3Kmqneb,0,False,mandy_maddy,1136375146845855744,183972348,"['Zomato', 'ZomatoIN', 'zomatocare', 'ZomatoLB', 'ZomatoUAE', 'ZomatoNZ', 'ZomatoAUS']"
2019-06-05 20:51:18,0,172,578,"@zomatocare Still waiting for the response. This is highly rude and unprofessional first you send the food in a state that we can't eat and then stop responding all the way. 
@ZomatoIN @zomatocare @Zomato",0,False,AnandAbhinaw,1136374960434294784,825185430,['zomatocare']
2019-06-05 20:51:10,0,167,412,"RT @ZomatoIN: Humans may be 70% water, but can definitely be 100% nice 😇 https://t.co/GiFxq4zLBr",0,False,iliasbasha,1136374928243142656,91367201,['ZomatoIN']
2019-06-05 20:49:12,0,244,102,"@Zomato I started a chat at 12:41 and it’s 2:19 now. Just how long will I have to wait till I’m assigned an executive? 

@zomatocare @ZomatoIN",0,False,ShiVanGogh,1136374431842996224,990298817252782082,['Zomato']
2019-06-05 20:47:14,0,58,149,"@mad_toothbrush @ZomatoIN On a day like today, a guy named ROHIT paying for his own meal and then having to suffer is despicable. @ZomatoIN you got to give him freebies the day. #RohitSharma #INDvsSA #CWC2019  😄🤘🎉",0,False,SurePradyumna,1136373939532382214,763825909971378177,"['mad_toothbrush', 'ZomatoIN']"
2019-06-05 20:46:18,0,36,123,@zomatocare This the second time but nonetheless 1319911484 and 1690943076. Haven't received both the orders but still it shows delivered. Prepaid orders.,0,False,Colin_You_Soon,1136373705460740096,775933564298813441,['zomatocare']
2019-06-05 20:43:11,0,71,653,@rohitrao1994 @ZomatoIN @zomatocare They don’t care about customer’s value.. their delivery executives are rude &amp;  they used to abuse customer,0,False,gouravpaliwal01,1136372921385988096,485859752,"['rohitrao1994', 'ZomatoIN', 'zomatocare']"
2019-06-05 20:42:33,0,4920,847,"@9334319552 @zomatocare @BlrCityPolice Hi Arpit we are based in Northern Ireland, there may be an organisation of the same name in your country.",0,False,ConsumerCouncil,1136372760274505729,113081696,"['9334319552', 'zomatocare', 'BlrCityPolice']"
2019-06-05 20:39:57,0,15,108,@zomatocare What's the update? Your customer care tech support person is still sending me another food?? Disappointing... https://t.co/FP3jhsJuJI,0,False,hoperish786,1136372106919260161,343350555,['zomatocare']
2019-06-05 20:38:20,0,36,123,"@zomatocare @Zomato @ZomatoIN 
How do I rate my food delivery and restaurant if they food hasn't arrived yet and the order has been cancelled? 🙃🙃🙃🙃🙃🙂",0,False,Colin_You_Soon,1136371700759580672,775933564298813441,"['zomatocare', 'Zomato', 'ZomatoIN']"
2019-06-05 20:37:47,0,8,29,@ZomatoIN @zomatocare worst food delivery company in India... koi help nai inke customer care se kch nai bs Paise chaiye in Logo lo... worst company,0,False,bhatiaaaaaaaaaa,1136371561684844544,152209601,"['ZomatoIN', 'zomatocare']"
2019-06-05 20:37:33,0,126,261,@zomatocare Haven't received any update regarding above,0,False,pjain362,1136371502171926529,3302230033,['zomatocare']
2019-06-05 20:36:29,0,30,377,@Zomato @zomatocare @ZomatoIN why no response,0,False,kissyjr8088,1136371232847228928,919063904184971264,"['Zomato', 'zomatocare', 'ZomatoIN']"
2019-06-05 20:35:14,0,30,377,@zomatocare What have you done till now,0,False,kissyjr8088,1136370920166109184,919063904184971264,['zomatocare']
2019-06-05 20:34:19,0,39,634,Hungry grab a @SNICKERS never order from @UberEats @UberEats_IND @ZomatoIN @Zomato @zomatocare @b_raj1992 https://t.co/7g4qzhk5H9,1,False,DeepurajDiva,1136370689257041920,1939997624,"['SNICKERS', 'UberEats', 'UberEats_IND', 'ZomatoIN', 'Zomato', 'zomatocare', 'b_raj1992']"
2019-06-05 20:33:47,0,12,67,@zomatocare 1114924157,0,False,onavishek,1136370552476594176,901686882278432768,['zomatocare']
2019-06-05 20:29:05,0,839,524,@zomatocare Sure. It’s 1207676895,0,False,HandesUp,1136369372962983944,509237907,['zomatocare']
2019-06-05 20:27:56,1,2,23,@ZomatoIN First teach them how to talk to customers and deliver the food at the right address. Most of yr delivery guys talk like we are beggars n threaten to give them rating. Who allowed them that ? Obviously you guys..But u can't force customers to give them good rating..You just can't,0,False,igbumzgmailcom1,1136369081416802304,1065578138707640320,['ZomatoIN']
2019-06-05 20:24:02,0,12,67,@zomatocare @ZomatoIN @Zomato It's been 25 minutes of ordering food but no valets have still been assigned. I believe the food is done cooking and ready to be dispatched. When can I expect my order to be delivered.,0,False,onavishek,1136368101786710017,901686882278432768,"['zomatocare', 'ZomatoIN', 'Zomato']"
